"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"164 - MAGALU PAGAMENTOS LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.07.06 - Bens de pequeno valor";"NFS .16991034";"1945";"1/1";"00";"13/02/2023";"155,91";"13/02/2023";"0,00";"0";"13/02/2023";"155,91";"0,00";"0,00";"155,91";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"164 - MAGALU PAGAMENTOS LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.99.03 - Móveis, Utensílios Elétricos, Instalações";"NFE .518967";"2210";"1/1";"00";"14/02/2023";"3.799,05";"14/02/2023";"0,00";"0";"14/02/2023";"3.799,05";"0,00";"0,00";"0,00";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"164 - MAGALU PAGAMENTOS LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.03.02.02 - Adiantamento a Fornecedores";"ADT .01012023";"2228";"1/1";"00";"13/02/2023";"3.799,05";"13/02/2023";"0,00";"0";"13/02/2023A";"3.799,05";"0,00";"0,00";"3.799,05";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .07481508";"1961";"1/1";"00";"06/01/2023";"5.282,37";"04/02/2023";"0,00";"2";"06/02/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .67461509";"1962";"1/1";"00";"06/01/2023";"5.282,37";"04/03/2023";"0,00";"0";"03/03/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .67481510";"2403";"1/1";"00";"06/01/2023";"5.282,37";"04/04/2023";"0,00";"0";"03/04/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .67481511";"2817";"1/1";"00";"06/01/2023";"5.282,37";"04/05/2023";"0,00";"0";"28/04/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .062023";"3226";"1/1";"00";"30/05/2023";"5.282,37";"04/06/2023";"0,00";"1";"05/06/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .072023";"3560";"1/1";"00";"20/06/2023";"5.282,37";"04/07/2023";"0,00";"0";"30/06/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"216 - PORTO SEGURO COMPANHIA DE SEGUROS GERAIS";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.03 - Seguros";"REC .97481514";"3921";"1/1";"00";"20/07/2023";"5.282,37";"04/08/2023";"0,00";"0";"28/07/2023";"5.282,37";"0,00";"0,00";"5.282,37";"";"";"";"";"";"";
